"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 19, 2019","0.96510","0.97090","0.97090","0.96510","0.05K","-0.60%"
"Mar 20, 2019","0.96500","0.96510","0.98320","0.96500","2.56K","-0.01%"
"Mar 21, 2019","0.97000","0.96500","0.97000","0.91170","2.62K","0.52%"
"Mar 22, 2019","0.95000","0.97000","0.97000","0.93300","2.15K","-2.06%"
"Mar 23, 2019","0.97130","0.95000","0.99000","0.95000","4.15K","2.24%"
"Mar 24, 2019","0.97720","0.97130","0.97720","0.97120","0.43K","0.61%"
"Mar 25, 2019","0.97430","0.97720","0.97720","0.97430","0.42K","-0.30%"
"Mar 26, 2019","0.97490","0.97430","0.97490","0.97430","0.25K","0.06%"
"Mar 27, 2019","0.96000","0.97490","0.97490","0.96000","0.44K","-1.53%"
"Mar 28, 2019","0.98780","0.96000","0.98780","0.96000","0.59K","2.90%"
"Mar 29, 2019","0.96200","0.98780","0.98780","0.96110","0.10K","-2.61%"
"Mar 30, 2019","0.98740","0.96200","0.98740","0.96140","0.28K","2.64%"
"Mar 31, 2019","0.98500","0.98740","0.98740","0.93450","4.42K","-0.24%"
"Apr 01, 2019","0.99000","0.98500","0.99000","0.98500","0.11K","0.51%"
"Apr 02, 2019","0.98680","0.99000","0.99000","0.95320","4.91K","-0.32%"
"Apr 03, 2019","0.96350","0.98680","0.98680","0.96210","2.11K","-2.36%"
"Apr 04, 2019","0.97170","0.96350","0.97500","0.96260","2.04K","0.85%"
"Apr 05, 2019","0.96400","0.97170","0.97170","0.95600","1.78K","-0.79%"
"Apr 06, 2019","0.96570","0.96400","0.96850","0.95910","0.45K","0.18%"
"Apr 07, 2019","0.95510","0.96570","0.97130","0.95410","4.98K","-1.10%"
"Apr 08, 2019","0.95500","0.95510","0.95510","0.95340","4.08K","-0.01%"
"Apr 09, 2019","0.96000","0.95500","0.97900","0.94000","16.58K","0.52%"
"Apr 10, 2019","0.94170","0.96000","0.96000","0.94120","1.10K","-1.91%"
"Apr 11, 2019","0.91800","0.94170","0.97500","0.90030","1.38K","-2.52%"
"Apr 12, 2019","0.94860","0.91800","0.94860","0.91800","0.84K","3.33%"
"Apr 13, 2019","0.97250","0.94860","0.97500","0.94550","1.12K","2.52%"
"Apr 14, 2019","0.94230","0.97250","0.97250","0.94230","0.02K","-3.11%"
"Apr 15, 2019","0.95200","0.94230","0.97400","0.94230","2.39K","1.03%"
"Apr 16, 2019","0.96080","0.95200","0.97650","0.95200","1.18K","0.92%"
"Apr 17, 2019","0.96760","0.96080","0.97160","0.96000","0.48K","0.71%"
"Apr 18, 2019","0.97900","0.96760","0.97900","0.96580","1.09K","1.18%"
"Apr 19, 2019","0.96110","0.97900","0.97900","0.95330","0.24K","-1.83%"
"Apr 20, 2019","0.96110","0.96110","0.96110","0.96110","-","0.00%"
"Apr 21, 2019","0.95220","0.96110","0.97710","0.95220","1.02K","-0.93%"
"Apr 22, 2019","0.99340","0.95220","0.99340","0.95220","1.10K","4.33%"
"Apr 23, 2019","0.98820","0.99340","0.99340","0.98810","0.01K","-0.52%"
"Apr 24, 2019","0.97502","0.98820","0.98820","0.96000","208.16K","-1.33%"
"Apr 25, 2019","0.98473","0.97502","0.98473","0.97498","182.18K","1.00%"
"Apr 26, 2019","1.02944","0.98473","1.03920","0.98379","826.77K","4.54%"
"Apr 27, 2019","1.01468","1.02944","1.03803","1.01074","42.48K","-1.43%"
"Apr 28, 2019","1.03423","1.01468","1.05207","1.00759","287.75K","1.93%"
"Apr 29, 2019","1.03913","1.03423","1.05167","1.01853","197.86K","0.47%"
"Apr 30, 2019","1.03744","1.03913","1.05194","1.02837","234.17K","-0.16%"
"May 01, 2019","1.03596","1.03744","1.05236","1.01997","358.79K","-0.14%"
"May 02, 2019","1.04058","1.03596","1.04839","1.02000","223.91K","0.45%"
"May 03, 2019","1.03270","1.04058","1.06141","1.01815","447.20K","-0.76%"
"May 04, 2019","1.03517","1.03270","1.04724","1.02098","306.26K","0.24%"
"May 05, 2019","1.03462","1.03517","1.04528","1.01733","365.99K","-0.05%"
"May 06, 2019","1.03224","1.03462","1.06453","1.02397","461.34K","-0.23%"
"May 07, 2019","1.04062","1.03224","1.05351","1.03109","296.59K","0.81%"
"May 08, 2019","1.03564","1.04062","1.04439","1.01729","278.59K","-0.48%"
"May 09, 2019","1.01062","1.03564","1.03580","1.01033","85.53K","-2.42%"
"May 10, 2019","0.99784","1.01062","1.01413","0.99164","170.00K","-1.26%"
"May 11, 2019","0.97352","0.99784","1.00344","0.96052","387.25K","-2.44%"
"May 12, 2019","0.98520","0.97352","0.99296","0.97073","118.66K","1.20%"
"May 13, 2019","0.98330","0.98520","0.99482","0.97838","62.82K","-0.19%"
"May 14, 2019","1.00286","0.98330","1.00367","0.98209","145.19K","1.99%"
"May 15, 2019","1.00856","1.00286","1.02418","0.99416","204.69K","0.57%"
"May 16, 2019","1.01382","1.00856","1.02946","0.99955","377.15K","0.52%"
"May 17, 2019","1.01016","1.01382","1.04000","1.00112","259.98K","-0.36%"
"May 18, 2019","1.00040","1.01016","1.01314","0.99950","62.51K","-0.97%"
"May 19, 2019","0.99801","1.00040","1.00497","0.99001","121.53K","-0.24%"
"May 20, 2019","0.99795","0.99801","1.00439","0.99341","96.19K","-0.01%"
"May 21, 2019","0.99900","0.99795","1.00889","0.99370","69.47K","0.11%"
"May 22, 2019","1.00271","0.99900","1.00271","0.99298","62.19K","0.37%"
"May 23, 2019","0.99536","1.00271","1.00533","0.99265","100.60K","-0.73%"
"May 24, 2019","0.99153","0.99536","0.99896","0.99153","101.32K","-0.38%"
"May 25, 2019","0.99585","0.99153","0.99913","0.99153","65.86K","0.44%"
"May 26, 2019","0.99896","0.99585","1.00399","0.99266","168.47K","0.31%"
"May 27, 2019","1.00227","0.99896","1.01018","0.99621","124.01K","0.33%"
"May 28, 2019","1.00214","1.00227","1.00254","0.97214","527.69K","-0.01%"
"May 29, 2019","1.00339","1.00214","1.00865","0.99846","165.56K","0.12%"
"May 30, 2019","0.99821","1.00339","1.01553","0.99821","140.30K","-0.52%"
"May 31, 2019","0.99097","0.99821","1.00311","0.98909","61.87K","-0.73%"
"Jun 01, 2019","0.99826","0.99097","1.00160","0.99044","89.41K","0.74%"
"Jun 02, 2019","0.99760","0.99826","0.99947","0.99035","85.48K","-0.07%"
"Jun 03, 2019","0.99851","0.99760","1.00007","0.99281","57.67K","0.09%"
"Jun 04, 2019","1.00520","0.99851","1.00783","0.99544","121.65K","0.67%"
"Jun 05, 2019","1.00283","1.00520","1.00812","0.98940","227.94K","-0.24%"
"Jun 06, 2019","1.00294","1.00283","1.00585","0.99707","49.91K","0.01%"
"Jun 07, 2019","1.00180","1.00294","1.00447","0.99826","173.68K","-0.11%"
"Jun 08, 2019","0.99943","1.00180","1.00273","0.99909","21.86K","-0.24%"
"Jun 09, 2019","1.00021","0.99943","1.00314","0.99931","25.17K","0.08%"
"Jun 10, 2019","1.00159","1.00021","1.00198","0.99406","106.39K","0.14%"
"Jun 11, 2019","0.99767","1.00159","1.00159","0.99743","28.23K","-0.39%"
"Jun 12, 2019","0.99744","0.99767","1.00285","0.99616","68.30K","-0.02%"
"Jun 13, 2019","0.99519","0.99744","1.00015","0.99406","121.42K","-0.22%"
"Jun 14, 2019","0.99806","0.99519","1.00094","0.99399","88.09K","0.29%"
